Device: cuda:0
this is num of close 1000
this is num of normal 1000
begin!
Training_Loss At Epoch 0:	0.06704134388826788
Testing_Loss At Epoch 0:	0.05665016256272793
0 time used:  109.35858750343323 lr: [0.0001]
Training_Loss At Epoch 1:	0.052862102957442404
Testing_Loss At Epoch 1:	0.04701740706339479
1 time used:  105.80904936790466 lr: [0.0001]
2 time used:  105.66328358650208 lr: [0.0001]
3 time used:  105.87943935394287 lr: [0.0001]
4 time used:  105.688725233078 lr: [0.0001]
Training_Loss At Epoch 5:	0.041933056758716704
Testing_Loss At Epoch 5:	0.04217178238555789
5 time used:  106.1235761642456 lr: [0.0001]
Training_Loss At Epoch 6:	0.040378504609689114
Testing_Loss At Epoch 6:	0.04208794040605426
6 time used:  106.23821234703064 lr: [0.0001]
Training_Loss At Epoch 7:	0.042988870688714084
Testing_Loss At Epoch 7:	0.04136660099029541
7 time used:  106.2794337272644 lr: [0.0001]
Training_Loss At Epoch 8:	0.039682684815488756
Testing_Loss At Epoch 8:	0.04037284504622221
8 time used:  106.28400492668152 lr: [0.0001]
9 time used:  105.83740878105164 lr: [0.0001]
10 time used:  105.7729480266571 lr: [0.0001]
Training_Loss At Epoch 11:	0.039623562963679436
Testing_Loss At Epoch 11:	0.039004558604210614
11 time used:  106.21270298957825 lr: [1e-05]
Training_Loss At Epoch 12:	0.03542619625339285
Testing_Loss At Epoch 12:	0.03718396231532097
12 time used:  106.24032402038574 lr: [1e-05]
Training_Loss At Epoch 13:	0.03487099793739617
Testing_Loss At Epoch 13:	0.03709987284615636
13 time used:  106.46468567848206 lr: [1e-05]
Training_Loss At Epoch 14:	0.0345711536728777
Testing_Loss At Epoch 14:	0.036745034344494346
14 time used:  106.16801238059998 lr: [1e-05]
15 time used:  105.80660653114319 lr: [1e-05]
Training_Loss At Epoch 16:	0.034128395249135794
Testing_Loss At Epoch 16:	0.036511599123477935
16 time used:  106.13789963722229 lr: [1e-05]
Training_Loss At Epoch 17:	0.033912813938222826
